原始参数名,简化参数名
ATA345_GNSU1全球卫星定位系统_L260_年月日,飞行日期
ATA345_GNSU1全球卫星定位系统_L150_时分秒,飞行时间
ATA279_CAB1主飞控系统_L203_气压高度表决值,气压高度
ATA279_CAB1主飞控系统_L206_校准空速表决值,校准空速
ATA279_CAB1主飞控系统_L253_左襟翼位置信号表决值,左襟翼
ATA279_CAB1主飞控系统_L254_右襟翼位置信号表决值,右襟翼
ATA342_AHRU航姿基准系统_L320_磁航向角,航向角
ATA342_AHRU航姿基准系统_L324_俯仰角,俯仰角
ATA342_AHRU航姿基准系统_L325_横滚角,横滚角
ATA345_GNSU1全球卫星定位系统_L103_航迹角,航迹角
ATA344_IRU1惯性基准系统_L310_纬度,纬度
ATA344_IRU1惯性基准系统_L311_经度,经度
ATA314_RDC3机电信息采集系统_L323_1发油门角度,1发油门角度
ATA314_RDC3机电信息采集系统_L324_2发油门角度,2发油门角度
ATA314_RDC5机电信息采集系统_L323_3发油门角度,3发油门角度
ATA314_RDC5机电信息采集系统_L324_4发油门角度,4发油门角度
ATA314_RDC3机电信息采集系统_L300_1发发动机转速,1发转速
ATA314_RDC3机电信息采集系统_L301_2发发动机转速,2发转速
ATA314_RDC5机电信息采集系统_L303_3发发动机转速,3发转速
ATA314_RDC5机电信息采集系统_L304_4发发动机转速,4发转速
ATA28_FQC燃油系统_L247_全机总油量,全机总油量
ATA32_PDCU1起落架系统_L271_前起舱门上到位,起落架收
ATA32_PDCU1起落架系统_L271_前起舱门下到位,起落架放
